Crime, Location, Date
MEDICAL ASSIST , 180 McCormick Road,03-28-13

LARCENY FROM VEHICLE ,11th Street Parking Garage,03-28-13

VANDALISM, Dell/Bonnycastle Dr                                                  201300342/56,03-28-13

SUSPICIOUS, South Parking Garage,03-28-13

FOUND PROPERTY," Monitoring Station, Emmet St",03-28-13

ASSIST CITIZEN, Gooch,03-28-13

DUI, Emmet St/Angus Rd,03-28-13

ASSIST CITIZEN, Lambeth,03-28-13

FALSE ID, Hancock Dr,03-28-13

MOTOR VEHICLE THEFT, Abbott House,03-28-13

DIP, University Ave,03-28-13

ATTEMPTED SEXUAL ASSAULT , 1826 University Avenue,04-01-13

THEFT OF MOTOR VEHICLE , 220 Woody Dorm,04-01-13

THEFT OF MOTOR VEHICLE , 472 Faulkner Way,04-01-13

LOST PROPERTY , Nau Hall,04-01-13

VEHICLE ACCIDENT , Gilmer Drive,04-01-13

D.I.P. , 500 Block of Alderman Road,04-01-13

PROPERTY DAMAGE , Bonnycastle Drive,04-01-13

TRESPASSING , South Newcomb Road,04-02-13

FOUND PROPERTY , Hospital Drive,04-02-13

ASSAULT-SIMPLE , UVA Hospital,04-02-13

LOST PROPERTY , Campbell Hall,04-03-13

VANDALISM , Central Grounds Parking Garage,04-03-13

FOUND PROPERTY , 160 McCormick Rd.,04-04-13

ASSIS AGENCY , 1222 Jefferson Park Ave,04-04-13

PROPERTY DAMAGE , 100 Darden Blvd,04-04-13

THEFT FROM BUILDING , Alderman Library First Floor,04-04-13

LOST PROPERTY , 429 Monroe LN,04-06-13

PROPERTY DAMAGE , Lambeth Field Parking Lot,04-06-13

TRESPASS, 161 McCormick Rd,04-06-13

ASSIST CITIZEN, Rotunda,04-06-13

LARCENY, 3 West Staff Lounge,04-06-13

TRESPASS, 291 McCormick Road,04-06-13

PROPERTY DAMAGE,432 McCormick Road,04-06-13

SIMPLE ASSAULT, Stadium Rd,04-06-13

LOST PROPERTY, UVA Lawn,04-06-13

D.I.P, Lee St,04-06-13

PROPERTY LOST, McCormick Rd,04-06-13

FOUND PROPERTY , 170 McCormick Road  Alderman Library,04-09-13

MOTOR VEHICLE THEFT , 324 Peyton Court,04-09-13

LARCENY , T4 Parking Lot   Whitehead Road,04-09-13

MOTOR VEHICLE THEFT , 145 McCormick Road,04-09-13

ASSIST CITIZEN , 450 Whitehead Road,04-09-13

VEHICLE CRASH, 450 Whitehead Rd,04-09-13

SUSPICIOUS PERSON, Culbreth Rd,04-09-13

LARCENY, Thornton Hall,04-09-13

THREATENING PHONE CALL, Minor Hall,04-09-13

THREATENING PHONE CALL, Out Patient Pharmacy,04-09-13

ASSAULT-INTIMIDATION , 416 McCormick Road,04-11-13

TRAFFIC ACCIDENT , 400 McCormick Road,04-11-13

ASSIST AGENCY , 1215 Lee Street,04-11-13

SUSPICIOUS PERSON ," 295 Massie Rd, JPJ",04-12-13

LOST PROPERTY ," 345 Crispell Dr, MR-6",04-12-13

BREAKING &amp; ENTERING , Emily Couric Cancer Center,04-12-13

FOUND PROPERTY , Wooded Area Across from Whyburn Dorm,04-12-13

TRESPASS ," 484 Floyd Drive, Gooch Dorm",04-13-13

CIVIL DISPUTE , 580 Massie Road,04-13-13

ASSIST CITIZEN- MEDICAL ," 695 Alderman Road, Dunnington House",04-13-13

SIMPLE ASSAULT ," 450 Whitehead Road, Aquatic Fitness Center",04-13-13

ASSIST CIT-MEDICAL , 125 Ruppel Drive,04-14-13

SIMPLE ASSUALT , 1215 Lee Street UVA Hospital,04-14-13

PROPERTY DAMAGE , 583 Brandon Ave,04-15-13

VEHICLE ACCIDENT , Rt. 302,04-15-13

VEHICLE ACCIDENT , Alderman Road,04-15-13

SIMPLE ASSAULT , 351 McCormick Road/Thornton Hall,04-15-13

SIMPLE ASSAULT , UVA Hospital,-15-2013

MOTOR VEHICLE THEFT, 432 McCormick Rd,04-15-13

BREAKING AND ENTERING, 2861 Ivy Rd,04-15-13

DRUG VIOLATION, 583 Brandon Ave,04-15-13

MOTOR VEHICLE THEFT , 1215 Lee Street,04-17-13

LARCENY , Peabody Hall,04-15-13

TRESPASS , 36 Rotunda Drive,04-17-13

LARCENY , 1215 Lee Street,04-17-13

LARCENY , Peabody Hall,04-17-13

DISORDERLY CONDUCT, 2009 Stadium Rd,04-17-13

OIL LEAK, Copeley Rd &amp; Massie Rd,04-17-13

PROPERTY LOST, Crespell Drive,04-17-13

MOTOR VEHICLE THEFT , 30 Bonnycastle Drive,04-20-13

LARCENY , 432 McCormick Road,04-20-13

FOUND PROPERTY , 2009 Stadium Road,04-21-13

DUI , 115 Madison Lane,04-21-13

ASSIST AGENCY , 1215 Lee Street,04-21-13

MOTOR VEHICLE THEFT , Runk Dining Hall Bike Rack,04-21-13

MEDICAL ASSIST , 434 Lannigan Field,04-21-13

MOTOR VEHICLE THEFT , 30 Bonnycastle Drive,04-22-13

VANDALISM , 160 McCormick Road,04-22-13

VEHICLE ACCIDENT , 302 McCormick Road,04-22-13

BREAKING &amp; ENTERING , Hospital Drive,04-22-13

TRESPASS , Clark Park,04-22-13

GRAND LARCENY , Lee Street Parking Garage,04-22-13

LARCENY , Brooks Hall,04-23-13

ASSUALT SIMPLE , 117 11th Street SW,04-23-13

LARCENY , Campbell Hall,04-23-13

DUI , Lambeth Cr. &amp; Rugby Rd,04-24-13

MEDICAL ASSIST- CITIZEN , 1204 W. Main Street/ Battle Bldg.,04-24-13

LARCENY , 1604 Jefferson Park Avenue / New Cabell Hall,04-24-13

BREAKING &amp; ENTERING , McCue Center,04-24-13

PROPERTY DAMAGE, Lambeth Commons,04-24-13

ASSIST CITIZEN , 571 McCormick Road,04-26-13

ASSIST AGENCY , 1222 Jefferson Park Avenue,04-26-13

LARCENY , 1900 Carrs Hill Road,04-26-13

ANNOYING EMAILS , 1340 Jefferson Park Avenue,04-26-13

TRESPASSING,1826 University Ave                                         201300478/49,04-26-13

ASSIST CITIZEN , Cauthen House,04-28-13

TRESPASS , 149 Newcomb Road North,04-28-13

HARASSMENT , Claude Moore Nursing Education Building,04-29-13

SIMPLE ASSAULT- 1215 Lee St , UVA Hospital Gift Shop,04-30-13

LARCENCY , 200 South Emmet St,04-30-13

SUSPICIOUS CIRCUMSTANCE , 2304 Ivy Rd,05-01-13

LARCENY , 125 Ruppel Drive        Robertson Hall,05-01-13

ASSIST CITIZEN , 383 Gooch Dorm,05-01-13

ASSIST CITIZEN , 1404 JPA    French House,05-01-13

DISORDERLY CONDUCT , 102 14th Street N.W. Bolan Heights,05-01-13

ASSIST CITIZEN , 463 Lambeth House,05-01-13

LARCENY , 351 McCormick Rd      Thornton Hall,05-01-13

SAFEKEEPING  ,  1215 Lee St   Medical Center Emergency Dept.,05-01-13

BURGLARY , 163 Rugby Road,05-02-13

FOUND PROPERTY , 21 Hospital Drive,05-02-13

FRAUD , 1335 Lee Street,02-21-13

LARCENY , Gooch Dorm,05-02-13

LARCENY , 1221 Lee Street,05-02-13

ASSIST AGENCY , 1215 Lee Street,05-02-13

SUSPICIOUS CIRCUMSTANCE , 1215 Lee Street,05-02-13

DRUNK IN PUBLIC, University Ave,05-02-13

MOTOR VEHICLE THEFT , 164 McCormick Road,05-05-13

DUI, Jefferson Park Avenue,05-05-13

TRESPASS, McCormick,05-05-13

VEHICLE ACCIDENT, Scott Stadium Parking Lot,05-05-13

THREATENING PHONE CALLS, McCue Center,05-05-13

Burglary , 575 Alderman Road,05-07-13

ASSIST AGENCY , 1215 Lee Street,05-07-13

LARCENY , Stacey Hall,05-07-13

DIP , 1215 Lee Street,05-07-13

PROPERTY DAMAGE , 11th Street Parking Garage,05-07-13

FOUND PROPERTY , 400 S. Emmet Street,05-08-13

MOTOR VEHICLE THEFT , 450 Treehouse Drive,05-08-13

TRAFFIC ACCIDENT , Alderman,05-08-13

ASSIST AGENCY , UVA Medical Center,05-08-13

LARCENY , Clemmons Library,05-08-13

FOUND PROPERTY , 1215 Lee Street,05-08-13

FOUND PROPERTY , McCormick Road dorms area,05-09-13

SEXUAL ASSAULT , 1215 Lee Street,05-09-13

DUI, Jefferson Park Avenue,05-09-13

DIP, Jefferson Park Avenue,05-09-13

LARCENY,Dillard,05-10-13

LARCENY, Alderman Road,05-10-13

LARCENY, Sprigg lane,05-10-13

ASSIST AGENCY, 1215 Lee St   Medical Center,05-10-13

ASSIST AGENCY , Lee St,05-11-13

TRESPASS/WARNING , 291 McCormick Rd,05-11-13

DUI , Morton Dr. / N. Emmett St.,05-11-13

Lost PROPERTY , The Lawn,05-11-13

LARCENY-ALL OTHER , Gooch Dillard Bicycle Rack,05-11-13

COMPUTER TRESPASS , Computer Trespass,05-11-13

TRESPASS, McCormick Road Steam Tunnels,05-11-13

BURGLARY, East Range,05-11-13

VANDALISM, Brooks Hall,05-11-13

VANDALISM , 1732 University Avenue    Brooks Hall,05-13-13

ANNOYING PHONE CALLS , 1101 Millmont Street,05-13-13

VANDALISM , 120 Darden Boulevard,05-14-13

EMPLOYEE TERMINATION , 50 Bonnycastle Drive,05-14-13

ASSIST CITIZEN , 417 South Emmet Street,05-14-13

LOST PROPERTY , UVA Hospital Pediatric Clinic,05-14-13

PROPERTY DAMAGE , 101 Hospital Drive,05-15-13

SUSPICIOUS CIRCUMSTANCES , Claude Moore Nursing Building,05-15-13

ASSAULT-INTIMIDATION , 1215 Lee Street,05-15-13

B &amp; E , Randall Hall,05-15-13

TRAFFIC ACCIDENT , McCormick RD &amp; Alderman   NO PI,06-16-13

LARCENY , 1300 Jefferson Park Ave,05-16-13

FIRE ALARM , 1335 Lee Street,05-16-13

ASSAULT AGGRAVTED , 2100 Block,05-17-13

D.I.P. , 1702 University Ave,05-17-13

DUI , 1200 Emmet Street,05-18-13

PROPERTY DAMAGE , 1210 Lee Street,05-18-13

DUI, N. Emmet,05-18-13

TRESPASS, Barracks Rd,05-18-13

LARCENY, Aquatics Fitness Center,05-18-13

LOST PROPERTY, McCormick Rd,05-18-13

BREAKING AND ENTERING, 161 Rugby Road,05-18-13

PROPERTY DAMAGE , 400 South Emmet St,05-20-13

ASSIST AGENCY , 510 Massie Rd,05-20-13

ASSIST AGENCY , 1826 University Ave,05-20-13

TRAFFIC ACCIDENT , 352 McCormick Road,05-20-13

PROPERTY DAMAGE , 1210 Lee St,05-20-13

LARCENY , 1221 Lee Street,05-21-13

LARCENY , 1101 Millmont Street,05-21-13

MEDICAL ASSIST , 13th Street NW &amp; Wertland Street,05-21-13

PROPERTY DAMAGE , Sunnyside,05-22-13

VANDALISM , Facilities Management,05-22-13

LARCENY , 1306 Lane Road,05-22-13

LARCENY , 15 West Range,05-22-13

BURGLARY , 470 Farrish Circle,05-23-13

HARASSING EMAILS , Garrett Hall,05-23-13

ASSAULT , 1215 Lee Street,05-23-13

DIP , 1400 University Avenue,05-24-13

PROPERTY DAMAGE , 100 Darden Boulevard,05-24-13

Failure to provide ID , Alderman Road &amp; Pratt Drive,05-24-13

SEXUAL ASSAULT , 165 Rugby Road,05-24-13

B &amp; E , 1605 Jefferson Park Ave,05-24-13

TRAFFIC ACCIDENT , Brandon Ave,05-25-13

DUI , 1600 North Emmet Street,05-28-13

LARCENY , 735 Alderman Road,05-28-13

LARCENY , 466 Lambeth,05-28-13

BREAKING &amp; ENTERING , 1215 Lee Street,05-28-13

LARCENY , 1215 Lee Street,05-30-13

FOUND PROPERTY , Hospital Drive,05-30-13

PROPERTY DAMAGE , Page Dorm,05-30-13

DISORDERLY CONDUCT , Outpatient Surgery,05-31-13

ASSIST AGENCY , 1222 Jefferson Park Avenue,05-31-13

LOST PROPERTY , 160 Cabell Drive,05-31-13

BREAKING &amp; ENTERING , McKim Hall,05-31-13

DUI , S. Emmet at McCormick,06-01-13

FOUND PROPERTY , 815 Stadium Road,06-02-13

TRAFFIC ACCIDENT , Pratt Drive,06-03-13

SIMPLE ASSAULT , 1215 Lee Street    Medical Center,06-04-13

D.I.P. , 1611 University Ave,06-05-13

B &amp; E , 580 Massie Road,06-05-13

ASSIST CITIZEN , 434 Lannigan Drive,06-05-13

TRAFFIC ACCIDENT , 450 Whitehead Rd,06-05-13

ASSIST CITIZEN , UVA Hospital,06-05-13

DUI , 140 N. Emmet Street,06-06-13

DIP , 1215 Lee Street,06-06-13

PROPERTY DAMAGE , 210 S Emmet Street,06-07-13

PROPERTY DAMAGE , Lee Street Parking Garage,06-07-13

PROPERTY DAMAGE , T4 Parking Lot,06-07-13

ASSAULT-INTIMIDATION , 1335 Lee Street,06-07-13

Simple Assault , 30 East Lawn,06-07-13

Found Property , 999 Groves Street,06-07-13

Narcotics Violation, 600 McCormick Road,06-07-13

Property Damage, 450 Whitehead Road,06-07-13

PROPERTY DAMAGE: , Hospital Drive,06-07-13

BURGLARY , 11th St Parking Garage,06-11-13

ASSIST CITIZEN-MEDICAL ,Commonwealth Court,06-11-13

BURGLARY , Medical Research Building,06-11-13

ASSIST AGENCY , Medical Center Emergency Department,06-11-13

ASSIST , Medical Center Emergency Department,06-11-13

PROPERTY DAMAGE , West Complex Urology Clinic,06-11-13

PROPERTY DAMAGE , 11th Street Garage,06-11-13

FOUND PROPERTY , Bavaro Hall,06-11-13

LARCENY, Stadium Rd,06-11-13

DIP, University Ave,06-11-13

LARCENY , 1215 Lee Street,06-14-13

ASSIST AGENCY , 1215 Lee Street,06-14-13

SUSPICIOUS CIRCUMSTANCE , 1215 Lee Street,06-14-13

VEHICLE ACCIDENT , 1400 Block of Jefferson Park Avenue   NO. P.I.,06-14-13

DUI , 2400 Block of Ivy Road,06-15-13

LARCENY, 11th St Garage,06-15-13

BREAKING AND ENTERING, Hospital West Complex,06-15-13

PROPERTY DAMAGE , 575 Alderman Road,06-15-13

SUSPICIOUS CIRCUM STANCE, 1540 JPA,06-15-13

VANDALISM, Fiske Kimball Library,06-15-13

LOST PROPERTY , 1221 Lee Street,06-15-13

PROPERTY DAMAGE, UVA Hospital,06-15-13

LOST PROPERTY - 2304 Ivy Rd ,UVA Police Department,06-15-13

TRESPASS , 165 Rugby Road,06-15-13

ANNOYING PHONE CALLS - 100 Darden Blvd ,Abbott Center,06-15-13

FOUND PROPERTY , Central Parking Garage,06-15-13

PUBLIC INTOXICATION , 1215 Lee St,06-15-13

TRESPASS , 160 McCormick Rd,06-20-13

BREAKING &amp; ENTERING , UVA Hospital,06-20-13

FOUND PROPERTY , Bellair Market,06-20-13

BREAKING &amp; ENTERING , 500 Edgemont,06-20-13

TRAFFIC ACCIDENT , 1222 Jefferson Park Avenue,06-20-13

DUI , 100 BLK Elliewood Ave,06-21-13

LARCENY , 60 Monroe Hill,06-21-13

FOUND PROPERTY , SICU unit 5th floor UVA Hospital,-23-2013

TRESPASSING , 100 Hospital Dr.,-23-2013

ACCIDENT , Crispell drive,-24-2013

ACCIDENT , Massie Road,-24-2013

ASSIST AGENCY , Lee St UVA Hospital,-24-2013

LIQUOR LAW VIOLATION, Lambeth Commons,-24-2013

LARCENY, UVA Hospital  1215 Lee Street,-24-2013

FOUND PROPERTY , Darden Garage,-24-2013

VANDALISM , 1215 Lee Street   Medical Center,06-27-13

SUSPICOUS CIRCUMSTANCE , L-7 Parking Lot at Pavilion VI,06-27-13

LOST PROPERTY , 1215 Lee St  Medical Center,06-27-13

TRESPASS , UVA 11th Street Garage,06-27-13

ASSIST CITIZEN , 1204 West Main St,06-28-13

MOTOR VEHICLE THEFT , 454 Lambeth Field Apt,06-28-13

LARCENY - THEFT BLDG , UVA Hospital,06-28-13

SUSPICIOUS CIRCUMSTANCE , OHill Dining,06-28-13

LARCENY , 2504 Stadium Rd,06-28-13

PROPERTY DAMAGE , UVA 11th Street Garage,06-28-13

LOST PROPERTY , 1215 Lee Street,06-29-13

TRESPASS , 101 Hospital Drive,06-29-13

THREATENING PHONE CALLS , 1215 Lee Street,06-29-13

SUSPICIOUS CIRCUMSTANCE , 119 Emmet Street North,06-29-13

TRESPASS , JPA / Main Street,06-30-13

ASSIST AGENCY , Medical Center,06-30-13

ASSIST AGENCY , 1335 Lee Street,07-01-13

SUSPICIOUS CIRCUMSTANCE , 1001 Emmet Street,07-02-13

ASSIST AGENCY , UVA Hospital 5 West SICU,07-02-13

LOST PROPERTY , 415 Ray C. Hunt Drive,07-03-13

BURGLARY , McKim Hall,07-03-13

ASSIST CITIZEN MEDICAL, Culbreth RD,07-05-13

TRESPASS, 328 Mccormick Rd,07-05-13

TRESPASS, Emmett St./ Massie Rd,07-05-13

D.I.P,Rugby Rd,07-05-13

D.I.P, 110 Bailey Dr,07-05-13

ASSIST CITIZEN MEDICAL, Culbreth Theater,07-05-13

ASSIST OTHER AGENCY, 1215 Lee St.,07-05-13

VANDALISM , 100 Darden Boulevard,07-08-13

FOUND PROPERTY , 248 McCormick Road,07-08-13

LARCENY , 134 Mimosa Court,07-08-13

FOUND PROPERTY , 1215 Lee Street,07-08-13

ASSIST AGENCY , 804 West Main Street,07-09-13

SUSPICIOUS CIRCUMSTANCES , 416 McCormick Road,07-09-13

TRAFFIC ACCIDENT , 200 Jeanette Lancaster Way,07-09-13

FOUND PROPERTY , Alderman Library,07-09-13

TRAFFIC ACCIDENT , 450 Whitehead Road,07-09-13

ASSIST CITIZEN , 2304 Ivy Road,07-10-13

PROPERTY DAMAGE , 1215 Lee Street,07-10-13

SUSPICIOUS CIRCUMSTANCES , Primary Care Center,07-10-13

SUSPICIOUS PERSON , MR-4,07-10-13

LARCENY , Old Medical School,07-10-13

LARCENY , 1215 Lee Street,07-11-13

HIT &amp; RUN , 1335 Lee Street,07-11-13

PROPERTY DAMAGE , 180 McCormick Road,07-12-13

PROPERTY DAMAGE , UVA Art Museum,07-12-13

D.I.P, University Ave,07-12-13

TRESSPASS, 2150 Barracks Road,07-12-13

TRESSPASS, 2150 Barrack Road,07-12-13

ASSIST AGENCY, 1015 Massie Rd,07-12-13

PROPERTY DAMAGE , Ruffin Hall,07-14-13

PROPERTY DAMAGE , Rotunda Alley,07-13-13

SIMPLE ASSAULT, 1215 Lee Street,07-14-13

TRAFFIC ACCIDENT, Jefferson Park Avenue,07-14-13

ASSIST MEDICAL, Hancock Dr,07-14-13

MEDICAL ASSIST , 300 Whitehead Road,07-16-13

PROPERTY DAMAGE , 1300 West Main Street,07-16-13

LARCENY , UVA Hospital,07-16-13

LARCENY FROM VEHICLE , Lee Street Garage,07-16-13

LARCENY , 204 S Emmett Street   Snyder Tennis Courts,07-16-13

ASSIST AGENCY , Jefferson Park Avenue &amp; Lee Street,07-17-13

SUSPICIOUS CIRCUMSTANCES , 271 Ridge McIntire,07-16-13

DIP , 1521 University Avenue,07-16-13

ASSIST AGENCY , Facilities Management,07-17-13

BREAKING AND ENTERING , West Complex Heating Plant,07-17-13

SAFEKEEPING , UVA Emergency Department,07-17-13

DISORDERLY CONDUCT , 1215 Lee Street,07-18-13

TRAFFIC ACCIDENT ,  Crispell Drive,07-18-13

ASSIST CITIZEN , 218 14th Street,07-18-13

SUSPICIOUS CIRCUMSTANCES ,  Gilmer Hall,07-18-13

DISORDERLY CONDUCT ," l222 JPA, 3rd Floor",07-18-13

SUSPICIOUS CIRCUMSTANCES , Nau Hall,07-18-13

TRAFFIC ACCIDENT , Lee Street,07-18-13

LARCENY , Medical Center 7 East,07-18-13

BREAKING AND ENTERING ," 1340 JPA, Jordon Hall",07-19-13

LOST PROPERTY ,  1826 U. Ave/ Rotunda,07-19-13

PAST HIT AND RUN , 800 Alderman Rd,07-19-13

ASSIST AGENCY , 1215 Lee St/UVA ER,07-19-13

ELUDING , Alderman Rd &amp; Stadium Rd,07-19-13

SUSPICIOUS CIRCUMSTANCES, Kent Dorm,07-19-13

ASSIST CITIZEN, New Cabell Hall,07-19-13

FRAUD , Carruthers Hall,07-19-13

LARCENY, 1221 Lee Street,07-19-13

LOST PROPERTY , 580 Massie Rd   Law School,07-19-13

TRAFFIC ACCIDENT, 1210 Lee Street,07-19-13

LOST PROPERTY , 190 McCormick Road,07-19-13

SUSPICIOUS PERSON ," Garden 8, East Lawn",07-19-13

ANNOYING PHONE CALLS , 276D Carruthers Hall,07-19-13

HIT AND RUN , 2009 Stadium Road,07-19-13

FOUND PROPERTY , 2304 Ivy Road,07-19-13

TRESPASS , 1989 University Avenue,07-19-13

SIMPLE ASSAULT , UVA Emergency Department,07-19-13

PROPERTY DAMAGE , Carrs Hill Field,07-19-13

PROPERTY DAMAGE , 124 Mimosa Drive,07-19-13

ASSIST AGENCY , 1221 Lee Street,07-19-13

LARCENY , Duffy Blvd,07-19-13

FOUND PROPERTY, UVA 1210 Lee Street Garage,07-19-13

ASSIST AGENCY , 1221 Lee Street,07-19-13

MEDICAL ASSIST , West Range,07-19-13

MEDICAL ASSIST, Alderman Library,07-19-13

PROPERTY DAMAGE , Lee Street Garage,07-19-13

VANDALISM , k-2 Lot   Brandon Avenue,07-19-13

VANDALISM, 2015 Ivy Road,07-19-13

FOUND PROPERTY , 417 South Emmett Street,07-19-13

PROPERTY DAMAGE, 11th St Parking Garage,07-19-13

SEX OFFENSE, 1215 Lee Street    Medical Center,07-19-13

LARCENY, 290 Massie Road       McCue Center,07-19-13

ACCIDENT, 117 11th st        11th Street Garage,07-19-13

SUSPICIOUS CIRCUMSTANCES, 1221 Lee Street    Primary Care,07-19-13

LARCENY, 85 Engineers Way,

BREAKING AND ENTERING, 575 Alderman Rd,

LARCENY, 1221 Lee Street      Primary Care Center,

ASSIST AGENCY, 1215 Lee St   Medical Center,

PROPERTY DAMAGE, 1210 Lee Street   East Parking Garage,

HIT &amp; RUN , Lee Street Parking Garage,08-02-13

ANIMAL COMPLAINT , Birdwood Golf Course,08-04-13

TRESPASSING , 1335 Lee Street,08-04-13

SUSPICIOUS CIRCUMSTANCES, 1001 Emmet Stree5,08-05-13

CREDIT CARD FRAUD , 382 McCormick Rd,08-05-13

LARCENY , 1215 Lee Street,08-06-13

ASSIST AGENCY , 1215 Lee Street,08-06-13

LARCENY , 450 whitehead Rd,08-07-13

LARCENY, 1321 Lee Street,08-07-13

TRESPASS, 160 McCormick Road,08-07-13

ASSAULT ON POLICE OFFICER ,700 Blk. W. Main St.,08-09-13

SUSPICIOUS CIRCUMSTANCE ,100 Darden Blvd.,08-09-13

LARCENY , 1215 Lee Street,08-09-13

ASSIST CITIZEN , University Gardens,08-09-13

FOUND PROPERTY, 1215 Lee St,08-09-13

DUI, University Ave &amp; Hospital Drive,08-09-13

FOUND PROPERTY , 1500 Jefferson Park Ave bus stop,08-09-13

FOUND PROPERTY , 1215 Lee Street,08-11-13

ASSIST CITIZEN , 415 Lane Road,08-12-13

SIMPLE ASSAULT , 1215 Lee Street,08-12-13

LARCENY , 1335 Lee Street,08-12-13

LARCENY , UVA Hospital 3 East,08-13-13

ASSIST AGENCY , 1610 Avon Street,08-13-13

ASSIST AGENCY , 1215 Lee Street,08-13-13

TRESPASSING , 1335 Lee Street,08-14-13

PROPERTY FOUND , 580 Massie Road,08-14-13

ASSIST CITIZEN , 600 Massie Road,08-15-13

ASSIST AGENCY , 1215 Lee Street,08-15-13

LARCENY , 1321 Lee Street,08-15-13

ASSIST AGENCY , 1215 Lee Street,08-15-13

SUSPICIOUS CIRCUMSTANCE, 149 Newcomb Rd,08-16-13

SUSPICIOUS CIRCUMSTANCE, 1215 Lee St,08-16-13

LARCENY , 1315 Lee Street,08-16-13

VANDALISM , 1210 Lee Street,08-18-13

LOST PROPERTY, 1335 Lee Street,08-18-13

HIT AND RUN, 290 Massie Road             NO PI,08-18-13

TRAFFIC ACCIDENT , Alderman Rd &amp; McCormick Rd,08-18-13

ASSIST AGENCY , 1215 Lee Street,08-18-13

TRAFFIC ACCIDENT , 1101 Millmont Street,08-21-13

FOUND PROPERTY , Lambeth Field Residences,08-21-13

LARCENY , 1335 Lee Street,08-21-13

DIP , 1215 Lee Street,08-21-13

HIT &amp; RUN , Lee St Garage,08-22-13

FOUND PROPERTY ,291 McCormick Rd,08-22-13

VANDALISM , 1826 University Ave,08-23-13

WARRANT SERVICE ,1222 Jefferson Park Ave,08-23-13

LARCENY , 90 Gerard Drive,08-23-13

LARCENY , 100 Darden Blvd,08-23-13

ASSIST CITIZEN MEDICAL , 505 Edgemont Road,08-23-13

ASSIST AGENCY , 1215 Lee Street,08-23-13

SIMPLE ASSAULT/DUI , W.Main St &amp; Roosevelt Brown,08-24-13

STATE OWNED VEHICLE CRASH, Lambeth Services Rd,08-24-13

BREAKING/ENTERING, East Lawn,08-24-13

TRESPASS, Brooks Hall,08-24-13

ASSIST CITIZEN , 450 Lambeth Commons,08-25-13

DISORDERLY CONDUCT, 14th St and Wertland St,08-25-13

FOUND PROPERTY, 145 McCormick Rd,08-25-13

ASSIST CITIZEN, 585 McCormick Road,08-25-13

PROPERTY LOST, East Lawn,08-25-13

LARCENY, 1215 Lee Street,08-25-13

PROPERTY DAMAGE, Brandon Ave,08-25-13

OBSCENE PHONE CALLS, 510 Buckley Drive,08-25-13

MOTOR VEHICLE THEFT , 1215 Lee Street,08-25-13

ASSIST AGENCY, 510 Buckley Drive,08-25-13

MEDICAL ASSIST, 173 Culbreth Road,08-25-13

TREPASS, Lambeth Commons,08-25-13

DUI , Emmet Street at Ivy Road,08-25-13
